reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%)
466,Malí,000,Mundo,090111,Café sin tostar ni descafeinar,40,35,110.000,Toneladas,363.63636363636363636363636364,USD/Toneladas,0.00008011634,,,
364,"Irán, República Islámica del",000,Mundo,090111,Café sin tostar ni descafeinar,29,-22613,7.000,Toneladas,4142.8571428571428571428571429,USD/Toneladas,0.00005731143,22,-48,16
048,Bahrein,000,Mundo,090111,Café sin tostar ni descafeinar,28,-4633,1.000,Toneladas,28000,USD/Toneladas,0.0000552725,49,-77,
624,Guinea-Bissau,000,Mundo,090111,Café sin tostar ni descafeinar,28,23,4.000,Toneladas,7000,USD/Toneladas,0.00005615344,,,
780,Trinidad y Tobago,000,Mundo,090111,Café sin tostar ni descafeinar,25,-1611,3.000,Toneladas,8333.333333333333333333333333,USD/Toneladas,0.0000503603,-39,-70,-37
654,Santa Helena,000,Mundo,090111,Café sin tostar ni descafeinar,19,-2,0.000,Toneladas,,,0.00003806235,-2,-93,
504,Marruecos,000,Mundo,090111,Café sin tostar ni descafeinar,19,-265178,2.000,Toneladas,9500,USD/Toneladas,0.00003803058,-2,-42,-37
807,Macedonia del Norte,000,Mundo,090111,Café sin tostar ni descafeinar,17,-467,7.000,Toneladas,2428.5714285714285714285714286,USD/Toneladas,0.00003413293,,,
116,Camboya,000,Mundo,090111,Café sin tostar ni descafeinar,16,-4829,1.000,Toneladas,16000,USD/Toneladas,0.00003282106,35,-13,-29
788,Túnez,000,Mundo,090111,Café sin tostar ni descafeinar,15,-70465,1.000,Toneladas,15000,USD/Toneladas,0.00003039142,-32,,
804,Ucrania,000,Mundo,090111,Café sin tostar ni descafeinar,11,-50446,1.000,Toneladas,11000,USD/Toneladas,0.00002257798,38,212,
748,Eswatini,000,Mundo,090111,Café sin tostar ni descafeinar,10,-1965,3.000,Toneladas,3333.3333333333333333333333333,USD/Toneladas,0.00002082788,1,,
516,Namibia,000,Mundo,090111,Café sin tostar ni descafeinar,6,-1971,1.000,Toneladas,6000,USD/Toneladas,0.0000129717,-8,-12,-10
368,Iraq,000,Mundo,090111,Café sin tostar ni descafeinar,5,-3396,0.000,Toneladas,,,0.00001007149,90,220,
212,Dominica,000,Mundo,090111,Café sin tostar ni descafeinar,5,-5,1.000,Toneladas,5000,USD/Toneladas,0.000009808621,-62,,
352,Islandia,000,Mundo,090111,Café sin tostar ni descafeinar,4,-7897,0.000,Toneladas,,,0.000007669217,-49,,
470,Malta,000,Mundo,090111,Café sin tostar ni descafeinar,4,-1386,0.000,Toneladas,,,0.000008649552,-45,,
540,Nueva Caledonia,000,Mundo,090111,Café sin tostar ni descafeinar,3,-316,0.000,Toneladas,,,0.000005391952,-72,,
414,Kuwait,000,Mundo,090111,Café sin tostar ni descafeinar,3,-65793,0.000,Toneladas,,,0.00000548734,-76,-89,
275,"Palestina, Estado de",000,Mundo,090111,Café sin tostar ni descafeinar,3,-51,0.000,Toneladas,,,0.000006842195,-53,,
242,Fiji,000,Mundo,090111,Café sin tostar ni descafeinar,3,-72,0.000,Toneladas,,,0.000006927654,-18,112,
634,Qatar,000,Mundo,090111,Café sin tostar ni descafeinar,3,-9563,0.000,Toneladas,,,0.000006727665,-50,-78,
600,Paraguay,000,Mundo,090111,Café sin tostar ni descafeinar,2,-4243,0.000,Toneladas,,,0.000003708132,21,59,
796,Islas Turks y Caicos,000,Mundo,090111,Café sin tostar ni descafeinar,2,-218,0.000,Toneladas,,,0.00000355371,85,,
728,Sudán del Sur,000,Mundo,090111,Café sin tostar ni descafeinar,2,-2099,3.000,Toneladas,666.66666666666666666666666667,USD/Toneladas,0.00000401096,,,
562,Níger,000,Mundo,090111,Café sin tostar ni descafeinar,2,-9,1.000,Toneladas,2000,USD/Toneladas,0.000003585008,-37,,-55
072,Botsuana,000,Mundo,090111,Café sin tostar ni descafeinar,1,-487,0.000,Toneladas,,,0.000001764499,40,,
052,Barbados,000,Mundo,090111,Café sin tostar ni descafeinar,1,-1056,0.000,Toneladas,,,0.000001800921,,,
060,Bermudas,000,Mundo,090111,Café sin tostar ni descafeinar,,-396,,,,,,,,
064,Bhután,000,Mundo,090111,Café sin tostar ni descafeinar,,-240,,,,,,,,
050,Bangladesh,000,Mundo,090111,Café sin tostar ni descafeinar,,-1508,,,,,,,,
044,Bahamas,000,Mundo,090111,Café sin tostar ni descafeinar,,-3938,,,,,,,,
012,Argelia,000,Mundo,090111,Café sin tostar ni descafeinar,,-377133,,,,,,,,
028,Antigua y Barbuda,000,Mundo,090111,Café sin tostar ni descafeinar,,-159,,,,,,,,
031,Azerbaiyán,000,Mundo,090111,Café sin tostar ni descafeinar,,-2800,,,,,,,,
032,Argentina,000,Mundo,090111,Café sin tostar ni descafeinar,,-192334,,,,,,,,
084,Belice,000,Mundo,090111,Café sin tostar ni descafeinar,,-203,,,,,,,,
092,Islas Vírgenes Británicas,000,Mundo,090111,Café sin tostar ni descafeinar,,-11,,,,,,,,
096,Brunei Darussalam,000,Mundo,090111,Café sin tostar ni descafeinar,,-654,,,,,,,,
112,Belarús,000,Mundo,090111,Café sin tostar ni descafeinar,,-24805,,,,,,,,
148,Chad,000,Mundo,090111,Café sin tostar ni descafeinar,,-3,,,,,,,,
132,Cabo Verde,000,Mundo,090111,Café sin tostar ni descafeinar,,-4559,,,,,,,,
258,Polinesia Francesa,000,Mundo,090111,Café sin tostar ni descafeinar,,-864,,,,,,,,
266,Gabón,000,Mundo,090111,Café sin tostar ni descafeinar,,-113,,,,,,,,
234,Islas Feroe,000,Mundo,090111,Café sin tostar ni descafeinar,,-269,,,,,,,,
238,Islas (Malvinas) Falkland,000,Mundo,090111,Café sin tostar ni descafeinar,,-24,,,,,,,,
232,Eritrea,000,Mundo,090111,Café sin tostar ni descafeinar,,-8,,,,,,,,
204,Benin,000,Mundo,090111,Café sin tostar ni descafeinar,,-29,,,,,,,,
162,Isla de Navidad,000,Mundo,090111,Café sin tostar ni descafeinar,,-3,,,,,,,,
166,Islas Cocos (Keeling),000,Mundo,090111,Café sin tostar ni descafeinar,,-10,,,,,,,,
184,Islas Cook,000,Mundo,090111,Café sin tostar ni descafeinar,,-21,,,,,,,,
174,Comoras,000,Mundo,090111,Café sin tostar ni descafeinar,,-19,,,,,,,,
570,Niué,000,Mundo,090111,Café sin tostar ni descafeinar,,-5,,,,,,,,
574,Isla Norfolk,000,Mundo,090111,Café sin tostar ni descafeinar,,-23,,,,,,,,
584,Islas Marshall,000,Mundo,090111,Café sin tostar ni descafeinar,,-20,,,,,,,,
586,Pakistán,000,Mundo,090111,Café sin tostar ni descafeinar,,-1419,,,,,,,,
548,Vanuatu,000,Mundo,090111,Café sin tostar ni descafeinar,,-67,,,,,,,,
520,Naoero,000,Mundo,090111,Café sin tostar ni descafeinar,,-24,,,,,,,,
531,Curaçao,000,Mundo,090111,Café sin tostar ni descafeinar,,-353,,,,,,,,
533,Aruba,000,Mundo,090111,Café sin tostar ni descafeinar,,-153,,,,,,,,
535,"Bonaire, San Estaquio y Saba",000,Mundo,090111,Café sin tostar ni descafeinar,,-37,,,,,,,,
478,Mauritania,000,Mundo,090111,Café sin tostar ni descafeinar,,-27,,,,,,,,
480,Mauricio,000,Mundo,090111,Café sin tostar ni descafeinar,,-847,,,,,,,,
446,"Macao, China",000,Mundo,090111,Café sin tostar ni descafeinar,,-6355,,,,,,,,
462,Maldivas,000,Mundo,090111,Café sin tostar ni descafeinar,,-1749,,,,,,,,
496,Mongolia,000,Mundo,090111,Café sin tostar ni descafeinar,,-4368,,,,,,,,
498,"Moldova, República de",000,Mundo,090111,Café sin tostar ni descafeinar,,-1008,,,,,,,,
499,Montenegro,000,Mundo,090111,Café sin tostar ni descafeinar,,-51826,,,,,,,,
417,Kirguistán,000,Mundo,090111,Café sin tostar ni descafeinar,,-1590,,,,,,,,
408,"Corea, República Popular Democrática de",000,Mundo,090111,Café sin tostar ni descafeinar,,-5371,,,,,,,,
434,Libia Estado de,000,Mundo,090111,Café sin tostar ni descafeinar,,-105575,,,,,,,,
426,Lesoto,000,Mundo,090111,Café sin tostar ni descafeinar,,-992,,,,,,,,
376,Israel,000,Mundo,090111,Café sin tostar ni descafeinar,,-139736,,,,,,,,
292,Gibraltar,000,Mundo,090111,Café sin tostar ni descafeinar,,-33,,,,,,,,
296,Kiribati,000,Mundo,090111,Café sin tostar ni descafeinar,,-1,,,,,,,,
328,Guyana,000,Mundo,090111,Café sin tostar ni descafeinar,,-1217,,,,,,,,
304,Groenlandia,000,Mundo,090111,Café sin tostar ni descafeinar,,-119,,,,,,,,
308,Granada,000,Mundo,090111,Café sin tostar ni descafeinar,,-3,,,,,,,,
729,Sudán,000,Mundo,090111,Café sin tostar ni descafeinar,,-158922,,,,,,,,
795,Turkmenistán,000,Mundo,090111,Café sin tostar ni descafeinar,,-936,,,,,,,,
837,Rancho de naves y aeronaves,000,Mundo,090111,Café sin tostar ni descafeinar,,-28,,,,,,,,
858,Uruguay,000,Mundo,090111,Café sin tostar ni descafeinar,,-16703,,,,,,,,
860,Uzbekistán,000,Mundo,090111,Café sin tostar ni descafeinar,,-1014,,,,,,,,
876,Islas Wallis y Fortuna,000,Mundo,090111,Café sin tostar ni descafeinar,,-2,,,,,,,,
882,Samoa,000,Mundo,090111,Café sin tostar ni descafeinar,,-26,,,,,,,,
662,Santa Lucía,000,Mundo,090111,Café sin tostar ni descafeinar,,-238,,,,,,,,
666,San Pedro y Miquelón,000,Mundo,090111,Café sin tostar ni descafeinar,,-46,,,,,,,,
670,San Vicente y las Granadinas,000,Mundo,090111,Café sin tostar ni descafeinar,,-43,,,,,,,,
678,Sao Tomé y Príncipe,000,Mundo,090111,Café sin tostar ni descafeinar,,-13,,,,,,,,
690,Seychelles,000,Mundo,090111,Café sin tostar ni descafeinar,,-187,,,,,,,,
762,Tayikistán,000,Mundo,090111,Café sin tostar ni descafeinar,,-24,,,,,,,,
706,Somalia,000,Mundo,090111,Café sin tostar ni descafeinar,,-154,,,,,,,,
