reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%)
170,Colombia,608,Filipinas,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",6,6,0.0001235874724323,0.0003360678,0.02165127,73,,,4
170,Colombia,682,Arabia Saudita,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",6,6,0.0001235874724323,0.0001494985,0.8760835,18,,280,21
170,Colombia,340,Honduras,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",5,5,0.0001029895603602,0.02208676,0.001647196,117,-17,2,27
170,Colombia,410,"Corea, República de",71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",5,-54,0.0001029895603602,0.001020482,0.9697137,16,-32,,8
170,Colombia,458,Malasia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",3,-41,0.0000617937362161,0.0006695777,0.5976838,21,10,-82,5
170,Colombia,703,Eslovaquia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",3,-2543,0.0000617937362161,,0.0253508,68,,,20
170,Colombia,710,Sudáfrica,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",3,3,0.0000617937362161,0.000147743,0.1477489,33,,-6,9
170,Colombia,348,Hungría,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",2,2,0.0000411958241441,0.001041108,0.02795593,66,-10,,-1
170,Colombia,044,Bahamas,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",1,1,0.0000205979120720,0.006292474,0.005781764,95,,,33
170,Colombia,360,Indonesia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",1,-19,0.0000205979120720,,0.3755651,26,-69,,16
170,Colombia,862,"Venezuela, República Bolivariana de",71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",1,1,0.0000205979120720,0.002308562,0.003151844,105,-36,,63
170,Colombia,004,Afganistán,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-1,,,0.0004327728,146,,,-20
170,Colombia,100,Bulgaria,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-1,,0.0001513345,0.04808081,49,,,36
170,Colombia,144,Sri Lanka,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-8,,,0.01066674,81,,,0
170,Colombia,156,China,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-21428,,0.002969915,8.587245,5,,,10
170,Colombia,300,Grecia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-187,,0.00769858,0.02079325,74,,,20
170,Colombia,372,Irlanda,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-41,,0.0002640592,0.08266655,40,,,-4
170,Colombia,376,Israel,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-77,,0.06803319,0.2550806,28,,,-17
170,Colombia,446,"Macao, China",71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-22,,,0.1397092,34,,,0
170,Colombia,450,Madagascar,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-2,,,0.00002334946,184,,,-22
170,Colombia,480,Mauricio,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-4,,0.008154944,0.003569036,102,,,-24
170,Colombia,616,Polonia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-389,,0.00007670611,0.1897185,31,,,-4
170,Colombia,620,Portugal,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-1,,0.004209125,0.03630256,58,,,15
170,Colombia,642,Rumania,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-1,,0.001497753,0.04372321,53,,,
170,Colombia,704,Viet Nam,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-684,,,0.1027071,37,,,13
170,Colombia,752,Suecia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",,-1,,0.0003854983,0.07550006,44,,,20
