reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%)
804,Ucrania,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",7323,-7280,908.000,Toneladas,8064.977973568281938325991189,USD/Toneladas,0.0238747,78,70,25
440,Lituania,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",5576,-3990,1814.000,Toneladas,3073.8699007717750826901874311,USD/Toneladas,0.01817799,43,-20,-9
012,Argelia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",5223,-5222,576.000,Toneladas,9067.708333333333333333333333,USD/Toneladas,0.01702837,16,-47,-13
032,Argentina,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",5160,-5160,556.000,Toneladas,9280.575539568345323741007194,USD/Toneladas,0.0168226,40,69,5
188,Costa Rica,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",4844,-716,606.000,Toneladas,7993.399339933993399339933993,USD/Toneladas,0.01579089,127,77,105
036,Australia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",4803,-4500,463.000,Toneladas,10373.650107991360691144708423,USD/Toneladas,0.01565889,20,61,-1
051,Armenia,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",3482,-3482,360.000,Toneladas,9672.222222222222222222222222,USD/Toneladas,0.01135147,-27,2452,-53
320,Guatemala,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",3147,234,8434.000,Toneladas,373.13255869101256817642874081,USD/Toneladas,0.01025883,18,11,15
704,Viet Nam,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",3140,2051,421.000,Toneladas,7458.432304038004750593824228,USD/Toneladas,0.01023665,123,52,109
591,Panamá,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",3053,5896,1325.000,Toneladas,2304.1509433962264150943396226,USD/Toneladas,0.009953436,60,120,44
807,Macedonia del Norte,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",3006,-2915,579.000,Toneladas,5191.7098445595854922279792746,USD/Toneladas,0.009798988,331,984,
116,Camboya,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",2646,-2643,5308.000,Toneladas,498.49284099472494348153730219,USD/Toneladas,0.008626286,143,-7,95
222,El Salvador,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",2295,-1833,807.000,Toneladas,2843.8661710037174721189591078,USD/Toneladas,0.007483171,10,42,-7
608,Filipinas,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",2137,44092,281.000,Toneladas,7604.9822064056939501779359431,USD/Toneladas,0.006966204,11,24,-14
682,Arabia Saudita,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",1484,-1402,122.000,Toneladas,12163.934426229508196721311475,USD/Toneladas,0.004837733,79,640,49
203,República Checa,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",1395,-894,128.000,Toneladas,10898.4375,USD/Toneladas,0.004547758,18,28,5
800,Uganda,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",1352,630986,14019.000,Toneladas,96.4405449746772237677437763,USD/Toneladas,0.004408823,147,140,229
642,Rumania,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",1249,-135,184.000,Toneladas,6788.0434782608695652173913043,USD/Toneladas,0.004071793,85,968,71
324,Guinea,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",1185,659191,99.000,Toneladas,11969.69696969696969696969697,USD/Toneladas,0.00386315,480,,
620,Portugal,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",936,-916,112.000,Toneladas,8357.142857142857142857142857,USD/Toneladas,0.003051399,1,188,-21
450,Madagascar,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",906,82984,88.000,Toneladas,10295.454545454545454545454545,USD/Toneladas,0.002953592,,36,11
768,Togo,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",901,65934,5090.000,Toneladas,177.01375245579567779960707269,USD/Toneladas,0.002937179,,111,445
208,Dinamarca,000,Mundo,1801,"Cacao en grano, entero o partido, crudo o tostado",872,-851,91.000,Toneladas,9582.417582417582417582417582,USD/Toneladas,0.002842757,62,2,57
